Dataset,Generator,Video ID,Original Instruction / Task,Generation Prompt,Task Outcome,Incomplete task (0/1),Wrong goal (0/1),Task Score (0-1),No-contact motion (0/1),Lost / wrong contact (0/1),Sticking (0/1),Contact Score (0-1),Robot deformation (0/1),Object deformation (0/1),Object duplication/disappear (0/1),Spatial inconsistency (0/1),Geometry Score (0-1),Penetration R-O (0/1),Penetration R-E (0/1),Penetration O-E (0/1),Penetration Score (0-1),Error Description / Timestamp,Note,Affects Execution?,Forearm deformation,Gripper deformation,Upper arm deformation
Cosmos2.5,Cosmos,cosmos_RoboWM_000,close_drawer,"The robotic arm closes its grippers and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Success,0,1,0.5,0,0,0,1,0,0,0,0,1,0,0,0,1,"The drawer is closed, but the robot over-pushes the box, so the task outcome is not ideal.",,Possibly,0,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_001,close_drawer,"The robotic arm closes its gripper and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,1,0,1,1,0,0.33,1,0,0,0,0.75,0,0,0,1,"1. The gripper uses the wrong contact point: instead of pushing the drawer, it moves inside it. 2. It pulls the whole box from the inside without contact. 3. It moves the box instead of closing the drawer. 4. The forearm deforms.",,Yes,1,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_002,close_drawer,"The robotic arm closes its grippers and pushes the drawer back to the closed position. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Success,0,0,1,0,0,0,1,1,0,0,0,0.75,0,0,1,0.67,"The forearm deforms and becomes much shorter while picking up the object, and the yellow cube penetrates the bin while moving inward.",,Possibly,1,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_004,discard_trash,"The robotic arm picks up the yellow cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,0,0,1,0,0,1,0.67,1,0,0,0,0.75,0,0,1,0.67,1. The forearm deforms and becomes much shorter while picking up the object. 2. The yellow cube penetrates the bin while moving inward. 3. The cube remains stuck to the gripper instead of being cleanly released.,,Possibly,1,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_005,discard_trash,"The robotic arm picks up the blue cube from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,1,0,0.5,0,0,1,0.67,0,1,1,,0.5,0,0,0,1,"The blue cube remains stuck to the gripper, turns red, and is duplicated.",,Possibly,0,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_006,discard_trash,"The robotic arm picks up the brown paper cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Partial success,0,0,1,1,0,1,0.33,1,0,0,0,0.75,0,0,1,0.67,"The cup moves toward the gripper by itself instead of the gripper approaching it, and the cup penetrates the bin. A small hole appears in the middle of the robot arm, which is counted as minor deformation.",,Yes,0,0,1
Cosmos2.5,Cosmos,cosmos_RoboWM_007,discard_trash,"The robotic arm picks up the brown paper cup from the table and moves it above the trash bin then releases the gripper so the cube falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,1,0.67,1,0,0,0,0.75,0,1,1,0.33,"The task is incomplete because the cup is not released and remains stuck to the gripper. The robot arm becomes noticeably shorter after it begins moving, and both the gripper and the cup penetrate the bin.",,Yes,0,0,1
Cosmos2.5,Cosmos,cosmos_RoboWM_008,discard_trash,"The robotic arm picks up the brown paper cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,1,0.67,1,1,0,0,0.5,1,0,0,0.67,"The robot arm becomes significantly shorter after it begins moving. The gripper penetrates the cup, and the cup deforms and briefly appears soft. The gripper also fails to release the cup, which remains stuck to it.",,Yes,0,0,1
Cosmos2.5,Cosmos,cosmos_RoboWM_009,discard_trash,"The robotic arm picks up the brown paper cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,1,0.67,0,0,0,0,1,0,0,1,0.67,"The gripper fails to release the cup, and minor penetration occurs as the cup enters the bin.",,Yes,0,0,0
Cosmos2.5,Cosmos,cosmos_RoboWM_010,discard_trash,"The robotic arm picks up the white cup from the table and moves it above the beige trash bin then releases the gripper so the cup falls into the bin. Throughout the entire sequence, the gripper undergoes no structural deformation, only the opening angle of its jaws changes; the rotational movements of the robotic arm joints strictly adhere to its inherent mechanical structure; and the camera perspective remains completely unchanged.",Failure,1,0,0.5,0,0,1,0.67,0,0,0,0,1,0,0,1,0.67,The cup penetrates the bin and remains stuck to the gripper instead of being released.,,Yes,0,0,0
