dataset,video,pipeline_status,link2_pdi_score,link3_pdi_score,link4_pdi_score,link5_pdi_score,link6_pdi_score,link7_pdi_score,link2_cad_epsilon_mean,link3_cad_epsilon_mean,link4_cad_epsilon_mean,link5_cad_epsilon_mean,link6_cad_epsilon_mean,link7_cad_epsilon_mean,link2_cad_epsilon_p90,link3_cad_epsilon_p90,link4_cad_epsilon_p90,link5_cad_epsilon_p90,link6_cad_epsilon_p90,link7_cad_epsilon_p90,link2_pose_discontinuity,link3_pose_discontinuity,link4_pose_discontinuity,link5_pose_discontinuity,link6_pose_discontinuity,link7_pose_discontinuity,cad_statuses,foundation_pose_video_depth_scale
COSMOS2.5,0000.mp4,complete,0.0876,0.3005,0.1314,0.1449,0.1988,0.3391,0.1709091509459917,0.1706058735558804,0.1965741356661997,0.07784243238647502,0.15904867563883715,0.22901538559353624,0.2131982495073307,0.20780326770942992,0.24006246247102314,0.10073295356460621,0.1820146331651508,0.28873797724925016,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.3195079107728942
COSMOS2.5,0001.mp4,complete,0.1031,0.2728,0.1995,0.2253,0.1764,0.1397,0.17235451854951644,0.14692289207512457,0.1615407583424058,0.07509437717359933,0.18920384505470544,0.2735075899791205,0.2178942188679072,0.18369452711011947,0.1920272778483775,0.09292187289171037,0.2523804284855986,0.31559212991065094,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:uncalibrated,1.2311444133449163
COSMOS2.5,0002.mp4,complete,0.139,0.2762,0.2223,0.1913,0.1049,0.1863,0.20019907053323252,0.17163619136131647,0.19995772970230977,0.0969995259232385,,0.24117391328037738,0.2341894632407679,0.19968663835726283,0.22449676096014823,0.12041660930524357,,0.2765760553661563,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:uncalibrated,1.2311444133449163
COSMOS2.5,0004.mp4,complete,0.1198,0.3569,0.254,0.3104,0.3585,0.4946,0.17125947070193093,0.16378718187095134,0.16669798024636495,0.12386767633757073,0.22476263024928067,,0.20729679305061943,0.21062425235993357,0.19877995942731,0.14827502407987483,0.27728592632433513,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:unscorable,1.148698354997035
COSMOS2.5,0005.mp4,complete,0.1798,0.2868,0.3554,0.2844,0.5535,0.4855,0.19849269936297842,0.1664766980266264,,0.11672807198574715,,,0.253942569433154,0.19970422045404101,,0.14599064126074757,,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:unscorable;link7:unscorable,1.189207115002721
COSMOS2.5,0006.mp4,complete,0.1167,0.2817,0.2278,0.2258,0.5573,0.3588,0.18536952570782086,0.15620015353265054,,0.11794498435671512,,,0.2204154873945046,0.1699745105364877,,0.14065735390893971,,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:unscorable;link7:unscorable,1.0717734625362931
COSMOS2.5,0007.mp4,complete,0.1246,0.3,0.2408,0.2275,0.3134,0.332,0.18333870539935543,0.17290308066559348,,0.10845648517301477,0.1506630506555852,,0.20416561205568198,0.1935401405755079,,0.15097240246941132,0.17421768974224827,,False,False,False,False,False,True,link2:uncalibrated;link3:uncalibrated;link4:unscorable;link5:uncalibrated;link6:uncalibrated;link7:unscorable,1.0
COSMOS2.5,0008.mp4,complete,0.0958,0.4205,0.1816,0.1519,0.4323,0.4872,0.1614498554210605,0.10995074829374633,0.11941375194981917,0.1264045133097353,,,0.18683915963723893,0.1585393543144366,0.1508073983765892,0.1595528019018556,,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:unscorable,0.7845840978967508
COSMOS2.5,0009.mp4,complete,0.1641,0.301,0.3106,0.2735,1.6178,0.2171,0.1863250250392648,0.20724832125778,0.20123466437336074,0.10894528098520129,,0.1858253773247722,0.22059809567300706,0.2387063966735549,0.21572890532281913,0.1399217093204375,,0.24486505704670067,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:unscorable;link7:uncalibrated,0.8705505632961241
COSMOS2.5,0010.mp4,complete,0.1307,0.4251,0.2379,0.2717,0.2683,0.4799,0.19866769339525162,0.23092507427303774,0.17555935740259657,0.10632907078426038,0.14971390824182781,,0.23639284734072502,0.2831634371237294,0.20112561296936712,0.14435516812729227,0.2031756826446858,,False,False,False,False,False,False,link2:uncalibrated;link3:uncalibrated;link4:uncalibrated;link5:uncalibrated;link6:uncalibrated;link7:unscorable,0.9012504626108302
