dataset,relative_path,video_sha256,status,error,replay_selected,replay_status,replay_video,link2_status,link2_error,link2_depth_strategy,link2_depth_valid_frame_count,link2_depth_interpolated_frame_count,link2_depth_interpolated_frame_fraction,link2_depth_total_frame_count,link2_pdi_score,link2_grade,link2_scale_component,link2_trajectory_component,link2_rigidity_component,link2_vanishing_point_component,link2_sam3_tracked_fraction,link3_status,link3_error,link3_depth_strategy,link3_depth_valid_frame_count,link3_depth_interpolated_frame_count,link3_depth_interpolated_frame_fraction,link3_depth_total_frame_count,link3_pdi_score,link3_grade,link3_scale_component,link3_trajectory_component,link3_rigidity_component,link3_vanishing_point_component,link3_sam3_tracked_fraction,link4_status,link4_error,link4_depth_strategy,link4_depth_valid_frame_count,link4_depth_interpolated_frame_count,link4_depth_interpolated_frame_fraction,link4_depth_total_frame_count,link4_pdi_score,link4_grade,link4_scale_component,link4_trajectory_component,link4_rigidity_component,link4_vanishing_point_component,link4_sam3_tracked_fraction,link5_status,link5_error,link5_depth_strategy,link5_depth_valid_frame_count,link5_depth_interpolated_frame_count,link5_depth_interpolated_frame_fraction,link5_depth_total_frame_count,link5_pdi_score,link5_grade,link5_scale_component,link5_trajectory_component,link5_rigidity_component,link5_vanishing_point_component,link5_sam3_tracked_fraction,link6_status,link6_error,link6_depth_strategy,link6_depth_valid_frame_count,link6_depth_interpolated_frame_count,link6_depth_interpolated_frame_fraction,link6_depth_total_frame_count,link6_pdi_score,link6_grade,link6_scale_component,link6_trajectory_component,link6_rigidity_component,link6_vanishing_point_component,link6_sam3_tracked_fraction,link7_status,link7_error,link7_depth_strategy,link7_depth_valid_frame_count,link7_depth_interpolated_frame_count,link7_depth_interpolated_frame_fraction,link7_depth_total_frame_count,link7_pdi_score,link7_grade,link7_scale_component,link7_trajectory_component,link7_rigidity_component,link7_vanishing_point_component,link7_sam3_tracked_fraction,geometry_seconds,query_preparation_seconds,tracker_load_seconds,exact_group_model_seconds,exact_group_total_tracking_seconds,peak_gpu_memory_bytes,total_seconds
COSMOS2.5,0000.mp4,1dc575dd686ce2e5db929b1126044e0f69fcd53e5c62670bd469e22f4cca426c,complete,,True,complete,jobs/COSMOS2.5_0000-1dc575dd686c/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.0943,A (Physical Realism) - physically consistent and tight,0.0484,0.1713,0.0324,0.2482,1.0,complete,,direct,93,0,0.0,93,0.301,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4024,0.3364,0.0274,0.5123,1.0,failed,only 35/93 frames have valid target depths; need at least 75,unavailable,35,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.1915,B (Minor Jitter) - slight geometric jitter,0.2062,0.2689,0.0075,0.0,1.0,complete,,direct,93,0,0.0,93,0.2032,B (Minor Jitter) - slight geometric jitter,0.0544,0.4444,0.0186,0.9333,1.0,complete,,direct,93,0,0.0,93,0.2706,B (Minor Jitter) - slight geometric jitter,0.278,0.391,0.0151,0.7969,1.0,444.3045818769606,2.1114181699813344,1.1515883070533164,3.8424463820410892,3.8595334340352565,5754609152,458.81498562998604
COSMOS2.5,0001.mp4,9473d3cfafd5bddda8af00edd34d87590cbe62a222460216134a2a6fa75e0f21,complete,,True,complete,jobs/COSMOS2.5_0001-9473d3cfafd5/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1049,B (Minor Jitter) - slight geometric jitter,0.0537,0.1876,0.0421,0.0698,1.0,complete,,direct,93,0,0.0,93,0.2847,B (Minor Jitter) - slight geometric jitter,0.3865,0.3139,0.0225,0.2462,1.0,complete,,direct,93,0,0.0,93,0.2117,B (Minor Jitter) - slight geometric jitter,0.2182,0.2636,0.095,0.3372,1.0,complete,,direct,93,0,0.0,93,0.2111,B (Minor Jitter) - slight geometric jitter,0.1878,0.3323,0.0149,0.7819,1.0,complete,,direct,93,0,0.0,93,0.19,B (Minor Jitter) - slight geometric jitter,0.0858,0.3359,0.1065,0.7668,1.0,complete,,direct,93,0,0.0,93,0.2139,B (Minor Jitter) - slight geometric jitter,0.1509,0.2742,0.2192,0.7733,1.0,445.7286972430302,1.7286643109982833,0.8905809640418738,3.7735772860469297,3.791273283015471,5754609152,460.17134065000573
COSMOS2.5,0002.mp4,6d3d29f5f57af4c8558841e90bfe1d44089299ad05fdb44efcd12ddf850cfa50,complete,,True,complete,jobs/COSMOS2.5_0002-6d3d29f5f57a/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1537,B (Minor Jitter) - slight geometric jitter,0.1007,0.2688,0.0292,0.1345,1.0,complete,,direct,93,0,0.0,93,0.3838,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4197,0.4874,0.1049,0.3677,1.0,complete,,direct,93,0,0.0,93,0.3117,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3015,0.3806,0.1942,0.4857,1.0,complete,,direct,93,0,0.0,93,0.4139,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.5701,0.3985,0.1324,0.8224,1.0,complete,,direct,93,0,0.0,93,0.3691,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.5008,0.3736,0.0966,0.8743,1.0,complete,,direct,93,0,0.0,93,0.4525,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.6294,0.4419,0.1198,0.6029,1.0,415.71251024800586,1.5470098500372842,0.990967109974008,2.060445648035966,2.0760190030559897,5754609152,427.2994547729613
COSMOS2.5,0003.mp4,33de9f9353260ab23742fc0e8e8b603b0027107145a1b9f02023b4a6b7d35db6,complete,,True,complete,jobs/COSMOS2.5_0003-33de9f935326/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1489,B (Minor Jitter) - slight geometric jitter,0.1018,0.2514,0.038,0.1205,1.0,complete,,direct,93,0,0.0,93,0.2656,B (Minor Jitter) - slight geometric jitter,0.3687,0.2809,0.0287,0.3043,1.0,failed,only 13/93 frames have valid target depths; need at least 75,unavailable,13,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.1936,B (Minor Jitter) - slight geometric jitter,0.2291,0.2446,0.0205,0.986,1.0,complete,,direct,93,0,0.0,93,0.2468,B (Minor Jitter) - slight geometric jitter,0.3299,0.2529,0.0683,0.0,1.0,complete,,direct,93,0,0.0,93,0.6419,F (Geometric Failure) - geometric coherence breaks down,0.9248,0.18,1.0,0.0,1.0,417.4985584980459,1.5132224150002003,0.9828483919845894,2.185599416028708,2.2028149050311185,5754609152,428.87485626200214
COSMOS2.5,0004.mp4,c7439858b6a61999df337a8235fe20c7a6ed1add5961ceac72e78dc823db087f,complete,,True,complete,jobs/COSMOS2.5_0004-c7439858b6a6/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1723,B (Minor Jitter) - slight geometric jitter,0.0656,0.3546,0.0211,0.1414,1.0,complete,,direct,93,0,0.0,93,0.4242,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.6168,0.4178,0.0518,0.4039,1.0,complete,,interpolation_fallback,91,2,0.021505376344086023,93,1.2343,F (Geometric Failure) - geometric coherence breaks down,2.6915,0.3742,0.0403,0.671,0.978494623655914,complete,,direct,93,0,0.0,93,0.3623,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4185,0.4738,0.027,0.9281,1.0,complete,,direct,93,0,0.0,93,0.4402,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.5564,0.4564,0.1752,0.9601,1.0,complete,,direct,93,0,0.0,93,0.5184,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3962,0.3998,1.0,0.0,1.0,416.71167004900053,1.7094227280467749,0.9081887200009078,2.050343115988653,2.066864686959889,5754609152,428.6140983089572
COSMOS2.5,0005.mp4,109157f431908d9a509cf8561893332354755502f33b2c9fc58409b7de4ce720,complete,,True,complete,jobs/COSMOS2.5_0005-109157f43190/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1776,B (Minor Jitter) - slight geometric jitter,0.0697,0.3578,0.033,0.2295,1.0,complete,,direct,93,0,0.0,93,0.284,B (Minor Jitter) - slight geometric jitter,0.2946,0.4036,0.0236,0.4533,1.0,failed,only 23/93 frames have valid target depths; need at least 75,unavailable,23,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.413,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.5449,0.477,0.0215,0.9805,1.0,complete,,direct,93,0,0.0,93,0.5586,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3741,0.5224,1.0,0.0,1.0,complete,,direct,93,0,0.0,93,0.4753,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3402,0.348,1.0,0.0,1.0,418.3382354559726,1.6308035510010086,1.0593937490484677,1.9484063529525883,1.9700879619340412,5754609152,429.92798724002205
COSMOS2.5,0006.mp4,ed28f7a51a2733ab11d9f1b709c8119ba06f32b3be6e657f9b68883db8508f4e,complete,,True,complete,jobs/COSMOS2.5_0006-ed28f7a51a27/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1083,B (Minor Jitter) - slight geometric jitter,0.0121,0.2375,0.0426,0.1879,1.0,complete,,direct,93,0,0.0,93,0.3227,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4062,0.3454,0.1104,0.3834,1.0,failed,only 61/93 frames have valid target depths; need at least 75,unavailable,61,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.4037,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.676,0.3101,0.0463,0.6939,1.0,complete,,direct,93,0,0.0,93,0.5004,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4648,0.2861,1.0,0.7619,1.0,complete,,direct,93,0,0.0,93,0.4996,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.2816,0.4674,1.0,0.8992,1.0,421.2485493470449,1.9034141350421123,1.2795656200032681,2.343564391019754,2.362225300981663,5754609152,433.88575754198246
COSMOS2.5,0007.mp4,0ef4e99c506afe4e57a0b6a9c60554b603f1415861ff2e812d6c0147a7ea3579,complete,,True,complete,jobs/COSMOS2.5_0007-0ef4e99c506a/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1228,B (Minor Jitter) - slight geometric jitter,0.0352,0.2515,0.0407,0.0808,1.0,complete,,direct,93,0,0.0,93,0.3015,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4075,0.3342,0.0242,0.2958,1.0,failed,only 2/93 frames have valid target depths; need at least 75,unavailable,2,0,0.0,93,,,,,,,,complete,,direct,93,0,0.0,93,0.2176,B (Minor Jitter) - slight geometric jitter,0.3255,0.2117,0.0139,0.8733,1.0,complete,,direct,93,0,0.0,93,0.3144,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.3643,0.4047,0.034,0.0,1.0,complete,,direct,93,0,0.0,93,0.3314,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.497,0.2623,0.1383,0.9993,1.0,346.8446237600292,2.0363953469786793,0.9708920780103654,2.2567172069684602,2.2719295409624465,5754609152,358.8078172300011
COSMOS2.5,0008.mp4,67575550209c91ce9bfcf95195464dd957124abedefff631c7d40dfe925c0f13,complete,,True,complete,jobs/COSMOS2.5_0008-67575550209c/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.0932,A (Physical Realism) - physically consistent and tight,0.0931,0.1283,0.023,0.1218,1.0,complete,,direct,93,0,0.0,93,0.42,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.8312,0.2027,0.0323,0.4671,1.0,complete,,direct,93,0,0.0,93,0.248,B (Minor Jitter) - slight geometric jitter,0.4087,0.1993,0.0241,0.6958,1.0,complete,,direct,93,0,0.0,93,0.1827,B (Minor Jitter) - slight geometric jitter,0.196,0.2478,0.0262,0.8899,1.0,complete,,direct,93,0,0.0,93,0.4318,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.5615,0.4645,0.1072,0.9829,1.0,complete,,direct,93,0,0.0,93,0.5208,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.47,0.332,1.0,0.9965,1.0,342.60014702100307,1.5620338440057822,0.8494584870059043,3.557294094993267,3.5772883389727212,5754609152,355.6556444459711
COSMOS2.5,0009.mp4,7f315615542b1d92f55382a23d4dd93f99c5785d411abe3f25897b2a6bdddf62,complete,,True,complete,jobs/COSMOS2.5_0009-7f315615542b/output/replay/combined_exact-group.mp4,complete,,direct,93,0,0.0,93,0.1673,B (Minor Jitter) - slight geometric jitter,0.1022,0.3006,0.0309,0.2457,1.0,complete,,direct,93,0,0.0,93,0.3021,C (Obvious Distortion) - obvious perspective illusion or foot sliding,0.4607,0.2848,0.0196,0.4777,1.0,complete,,direct,93,0,0.0,93,0.9813,F (Geometric Failure) - geometric coherence breaks down,1.9816,0.4637,0.0161,0.0,1.0,complete,,direct,93,0,0.0,93,0.2554,B (Minor Jitter) - slight geometric jitter,0.3072,0.3246,0.0134,0.957,1.0,complete,,interpolation_fallback,90,3,0.03225806451612903,93,1.6183,F (Geometric Failure) - geometric coherence breaks down,3.4532,0.5408,0.1037,0.0,0.967741935483871,complete,,direct,93,0,0.0,93,0.2275,B (Minor Jitter) - slight geometric jitter,0.2637,0.2832,0.0439,0.0,1.0,350.97070766304387,1.5411912460112944,1.1315878229797818,4.198169918963686,4.214648969005793,5754609152,365.2417788840248
