sequence,filename,frame_id,reference_name,shift_x,alignment_score,boundary_edge_score,boundary_confidence,minimum_link_alignment_score,minimum_link_boundary_edge_score,quality_pass,overlap_pixels,outside_nonzero_pixels,masks_are_binary,width,height,link_1_alignment_score,link_2_alignment_score,link_3_alignment_score,link_4_alignment_score,link_5_alignment_score,link_6_alignment_score,link_7_alignment_score,link_1_boundary_edge_score,link_2_boundary_edge_score,link_3_boundary_edge_score,link_4_boundary_edge_score,link_5_boundary_edge_score,link_6_boundary_edge_score,link_7_boundary_edge_score,link_1_pixels,link_2_pixels,link_3_pixels,link_4_pixels,link_5_pixels,link_6_pixels,link_7_pixels
1,discard_trash/episode_000000.png,discard_trash__episode_000000,001_discard_trash__episode_000000.png,0,1.0,66.86473683,3.15746051,0.99999996,33.5472374,True,0,0,True,1280,720,0.99999996,0.99999998,1.00000004,1.00000004,1.00000012,1.0,1.0,42.89175415,52.97256088,33.5472374,90.69884491,100.53588867,87.51107788,59.89579391,9861,36364,20495,17911,30276,8273,5853
2,discard_trash/episode_000001.png,discard_trash__episode_000001,002_discard_trash__episode_000001.png,-17,0.73894609,58.84028762,2.64570308,0.45794185,18.22206306,True,0,0,True,1280,720,0.45794185,0.59326482,0.90410153,0.74078103,0.70257651,0.72786589,0.64989224,29.69903564,18.22206306,28.2428627,89.10874939,65.62462616,108.82211304,68.04855347,9861,36364,20495,17911,30276,8273,5853
3,discard_trash/episode_000002.png,discard_trash__episode_000002,003_discard_trash__episode_000002.png,-8,0.76189132,58.07177544,2.50796559,0.43667257,23.69732857,True,0,0,True,1280,720,0.59337747,0.69343779,0.62683792,0.83912354,0.81655155,0.61934047,0.43667257,25.75405693,23.69732857,54.71242523,62.43185806,64.11167908,100.98764801,57.10438919,9861,36364,20495,17911,30276,8273,5853
4,discard_trash/episode_000003.png,discard_trash__episode_000003,004_discard_trash__episode_000003.png,0,0.75225568,60.40807016,2.70497712,0.40175973,41.20074844,True,0,0,True,1280,720,0.96164857,0.91585208,0.58952335,0.72629402,0.80618986,0.55015163,0.40175973,41.20074844,48.32504654,54.88186264,63.41533279,64.44123077,91.54881287,59.04345703,9861,36364,20495,17911,30276,8273,5853
5,discard_trash/episode_000004.png,discard_trash__episode_000004,005_discard_trash__episode_000004.png,5,0.8612488,59.05629839,3.03758101,0.69398668,33.60387802,True,0,0,True,1280,720,0.70380449,0.69398668,0.80321905,0.83765585,0.87019342,0.92352501,0.967957,35.07487488,33.60387802,35.585289,74.74279022,93.1415329,80.9610672,60.48329926,9861,36294,19192,17911,30276,8273,5853
6,discard_trash/episode_000005.png,discard_trash__episode_000005,006_discard_trash__episode_000005.png,-22,0.78699871,58.62555858,2.70636335,0.44394609,18.63511658,True,0,0,True,1280,720,0.44394609,0.5840963,0.73903785,0.64628275,0.88120498,0.77901457,0.66085098,36.15467072,18.63511658,23.5716629,78.36702728,84.9262619,106.83422852,59.70867538,9861,36364,20495,17911,30276,8273,5853
7,discard_trash/episode_000006.png,discard_trash__episode_000006,007_discard_trash__episode_000006.png,-9,0.81677315,60.96352414,2.93371861,0.55110089,21.57867432,True,0,0,True,1280,720,0.55110089,0.66935516,0.80761089,0.89399959,0.83791838,0.78360512,0.6369819,24.32777596,21.57867432,42.79140854,75.97356415,77.66398621,106.15782928,66.10902405,9861,36364,20495,17911,30276,8273,5853
8,discard_trash/episode_000007.png,discard_trash__episode_000007,008_discard_trash__episode_000007.png,-12,0.56089321,45.96149227,1.26955201,0.47541213,22.8978138,True,0,0,True,1280,720,0.49856474,0.63670802,0.47541213,0.53655269,0.48307089,0.71991594,0.6517572,22.8978138,24.22311401,25.4407177,29.53159142,46.33052444,112.80319214,58.27922058,9861,36364,20495,17911,30276,8273,5853
9,discard_trash/episode_000008.png,discard_trash__episode_000008,009_discard_trash__episode_000008.png,16,0.65413886,53.80507987,2.39426397,0.23524736,17.49780846,True,0,0,True,1280,720,0.23524736,0.41690468,0.56950716,0.75494703,0.70312703,0.44144759,0.3382601,30.44716644,17.49780846,35.26850891,78.84793854,81.12520599,64.63829803,68.82952118,9861,36013,16392,17911,30276,8273,5853
10,discard_trash/episode_000009.png,discard_trash__episode_000009,010_discard_trash__episode_000009.png,13,0.78047386,56.17861176,2.6307553,0.3881239,22.13087273,True,0,0,True,1280,720,0.3881239,0.51157067,0.64451029,0.77825265,0.87076328,0.66981359,0.54422785,28.62343216,22.13087273,40.88945389,76.12893677,78.34959412,83.54426575,63.44248581,9861,36110,17147,17911,30276,8273,5853
